source_path,destination_path,role,source_sha256,destination_sha256,copy_refactor_status,notes
,.gitattributes,release/interface/documentation/test,,0dc65dbb6efac2fef2fc97ce6e94fbec76a902a98423efd51d044845a0477bb0,new,New target-only packaging file; no archived source copied.
,.github/ISSUE_TEMPLATE/bug_report.yml,release/interface/documentation/test,,620025bd083b595edc5b30dd709d6d5cee1f72325c7db280ffbd9ab4ec79404e,new,New target-only packaging file; no archived source copied.
,.github/pull_request_template.md,release/interface/documentation/test,,0885256a9dc7ac01aaedd51feaa439ecc1ef7d6bf59b5ddf98da72a25d1ca582,new,New target-only packaging file; no archived source copied.
,.github/workflows/ci.yml,release/interface/documentation/test,,36285edab01ae375c307249a65d8debe0b5fe0223c4503590d27b09d6efab7ff,new,New target-only packaging file; no archived source copied.
,.gitignore,release/interface/documentation/test,,5040f8f6c563e4c1350764ac2cd8ba073c47f35544aca918cbebb209e8a32023,new,New target-only packaging file; no archived source copied.
,CITATION.cff,release/interface/documentation/test,,5f7b9fe4e5e9e5e3d361b31db02a3f8a081e9f6aa2a1e1d9e83fab0bd57afb4f,new,"Set the supplied software title, two authors, University of Virginia affiliations, version and MIT license; omit unavailable identifiers."
,CONTRIBUTING.md,release/interface/documentation/test,,03708e8b6f86f86e46309234e22aca9a618a67cc8a6b9c1e18bbd8dd185ccd96,new,Replace provisional authorship text and distinguish authorship from copyright ownership.
,LICENSE,release/interface/documentation/test,,e287f516d2b6637001e1e8b3282b15ee01de513a9c37b6587a444697de4c8427,new,New target-only packaging file; no archived source copied.
,README.md,release/interface/documentation/test,,556980a82eafcb58417c0d2a9d454bfb910ee10951ee29f76f72b3d9cf1335b0,new,"Adopt the requested identity and synthetic-testbed paragraph, correct accounting terminology, describe the post-processing workflow and verified authors."
data_processed/final_case_v0_1/restoration_env/rl_experiments_v0/configs/v0_3_harmonized_bcr_and_annual_community_figures_v1_config.yaml,configs/economics/benefit_cost.yaml,configuration,367d15e1e4d090fca7ab1bdca7fa49305e40056a92acacd3655cc8449ae7508c,8a2dd2e8c7be426f8896874b5030a470dfc9d229f7e7e597cb6699d31d00951e,curated,"Copied before curation. Publication refinement: Replace unused apparent assumptions with active source selectors, explicit financial/environmental controls and four required ledger paths."
data_processed/final_case_v0_1/restoration_env/rl_experiments_v0/configs/v0_3_stage1_stage2_source_based_benefit_cost_analysis_v1_config.yaml,configs/economics/community.yaml,configuration,52c7f623cf762e75b043ec086737672fa44db1a970ce7a5cfdcc572422d69722,296a1279592cd9b64ad1d464024cac03fbd591c0d6e18578f38214b16ac5264b,curated,Copied before curation. Publication refinement: Use current resource labels while retaining numerical source parameters.
data_processed/final_case_v0_1/restoration_env/rl_experiments_v0/configs/v0_3_incremental_export_enablement_benefit_cost_revision_v1_config.yaml,configs/economics/enablement.yaml,configuration,b2d0d5e3ae8aab3e570151da126249f15a7ce6af2da881e6219e2dc41d26d548,d272f1fea18cdfe979076a10427ea1cbdaef55558207930aca15f7cfad422e76,curated,Copied before curation. Publication refinement: Use current resource and assessment descriptions while retaining numerical source parameters and serialized section keys.
data_processed/final_case_v0_1/restoration_env/rl_experiments_v0/configs/v0_3_stage1_duration_dependent_and_fema_benefit_cost_analysis_v1_config.yaml,configs/economics/interruption_damage.yaml,configuration,7692279335291de9715cae60871f7ef8eb3c94a652dd8161e02024c4b5a0c860,73b57041c93b507051a6ed6681f72d2c855927009a227536e5be2e07cf3f9fbe,refactored,"Copied before editing. Retained sections: price_year, inflation, duration_dependent_valuation. Numerical values preserved; public labels and paths updated."
data_processed/final_case_v0_1/restoration_env/rl_experiments_v0/configs/v0_3_representative_event_node_level_benefit_revision_v1_config.yaml,configs/economics/load_classes.yaml,configuration,61c7034f2339f4dc65962be6307e6f74b09ded9bb99d38805aac6850d3628818,f22a6d578559cba645dfb28f0041cf2e431961fe37be9312602245ece76ed330,refactored,Copied before editing. Retained sections: commercial_size_classes. Numerical values preserved; public labels and paths updated.
data_processed/final_case_v0_1/restoration_env/rl_experiments_v0/configs/v0_3_harmonized_source_valuation_paper_results_v1_config.yaml,configs/evaluation/bounded_ga.yaml,configuration,80db28232ae0d79eec0fdb9d85fa90016f9e32b1aaf6e8e96142af8ea8b5bf5e,e3530db20982fe164c26615226fadce5ebbaa5bf090406d4cf97b37dcab292ee,refactored,"Copied before editing. Retained sections: random_seed, valuation, runtime. Numerical values preserved; public labels and paths updated."
,configs/evaluation/figures.yaml,release/interface/documentation/test,,335a4f3bf3f89590735975fc429a9e9d2c364129955ec54ba6785ff95dce4554,new,Point policy figures at the new consolidated analysis directory.
data_processed/final_case_v0_1/restoration_env/rl_experiments_v0/configs/v0_3_harmonized_selected_true_gnn_a2c_paper_refresh_v1_config.yaml,configs/evaluation/paper.yaml,configuration,7a052021afbd90ed3e7fa1ba2677b0b57506df805a5863aa2fcab92467090889,a94ff9a981eeb615892c199c6ab3a722dc0bd96c7cc2744b4e702e5afe35a109,curated,"Copied before curation. Publication refinement: Use canonical policy labels in public configuration values; preserve seeds, resource codes and selection parameters."
,configs/evaluation/severity.yaml,release/interface/documentation/test,,59a05f3e385168b49f681f49c7e037ea55d77e8a1fac01853f83cc64785d8003,new,New target-only packaging file; no archived source copied.
data_processed/final_case_v0_1/hurricane_module/hurricane_config.yaml,configs/hazards/hurricane.yaml,configuration,2740a3f9397244246e6f3d5f64e4595a78f74ead17f9084a96f3e7daef27c6d7,e3f014f9a7f5ba4180330eaa453d4742ec390d9e951fe67bf338d83b96d88395,refactored,Copied before editing. Retained sections: all. Numerical values preserved; public labels and paths updated.
,configs/policies/cnn_a2c.yaml,release/interface/documentation/test,,bccbde80f0eaac50f1ec9710f3d4e4093d7b7b169f7046fd15da53bcea45a031,new,New target-only packaging file; no archived source copied.
,configs/policies/graphbc.yaml,release/interface/documentation/test,,8e68daefd0d4420092906e7d60379b2cce9f46f4a12d415626276f17a484ea24,new,New target-only packaging file; no archived source copied.
,configs/policies/graphrl_a2c.yaml,release/interface/documentation/test,,202e9bdaaf471c5875b7fc4baeb5e8564a7b8f59692ed9ffe75cc6ecd6ac464e,new,New target-only packaging file; no archived source copied.
,configs/policies/graphrl_ppo.yaml,release/interface/documentation/test,,cb15b03d98fa30e7fbca3b80002c9faa2e5fec7882f8b0972ee9c2f7755efa23,new,New target-only packaging file; no archived source copied.
,configs/policies/greedy.yaml,release/interface/documentation/test,,09ce71eb21f9ec063860d39949e3ec398507dfaae99774490a5ae7836e3e6175,new,New target-only packaging file; no archived source copied.
,configs/policies/mlp_a2c.yaml,release/interface/documentation/test,,cd94bad173134eb3b48ffcc2373cdea1fe50900e459ed66a993400b253724ef5,new,New target-only packaging file; no archived source copied.
,configs/policies/random_top_k.yaml,release/interface/documentation/test,,567a885cb2d76ca93128eae08937abe66aec4373a9f12da4f6e4d07e0d417229,new,New target-only packaging file; no archived source copied.
data_processed/final_case_v0_1/restoration_env/rl_experiments_v0/configs/v0_3_harmonized_objective_fair_retraining_v1_config.yaml,configs/policies/training.yaml,configuration,3786b1e6555f98787476c66aa3064b7652930624a5441ff90a7d8b2f4ef5fe0d,bc27644566caeb0da750ea100ada0293135e0221a3a12a2e1d8fd10881ed1dc2,curated,Copied before curation. Publication refinement: Record the unchanged fixed-priority compatibility mode explicitly.
data_processed/final_case_v0_1/restoration_env/rl_experiments_v0/configs/v0_3_harmonized_selected_true_gnn_a2c_paper_refresh_v1_config.yaml,configs/restoration/anchors.yaml,configuration,7a052021afbd90ed3e7fa1ba2677b0b57506df805a5863aa2fcab92467090889,fc738a403a863e5339c45291f3cf68d2f819fda81a44b2c10673109dc3fa5941,curated,Copied before curation. Publication refinement: Record the same fixed-priority controller mode alongside the final resource specification.
case_config.yaml,configs/testbed/base.yaml,configuration,86182607d74c96b75ed905d961fc4e384d34b1660d674ab5eaec9efbc4a32cc1,b9218a6c804726700379d6a0adffb49d5d03afd422ed1a402459bc03201729d8,curated,"Copied before curation. Publication refinement: Replace geographic case-identity wording; preserve acquisition identifiers, coordinates and numerical values."
data_processed/final_case_v0_1/restoration_env/rl_experiments_v0/configs/benchmark_hard_case_v0_3_design_config.yaml,configs/testbed/benchmark.yaml,configuration,db8f20e60bff69383af946e29bf82172900f9dfd1d0d39a7d9318c9d79640fef,9eaeda8d9e6101ecee7a7c24a81f653f60e9b7cd092115df24131d2b33fc277b,refactored,"Copied before editing. Retained sections: experiment_name, random_seed, paths, selected_candidate, geography, network_targets, scenarios, restoration_env. Numerical values preserved; public labels and paths updated."
,data/README.md,release/interface/documentation/test,,d16b16ebd0640ddad11c301c44dc0f7458cd05358df722e5daa48c456dca467c,new,"Specify the active accounting and evaluation schemas, legacy fields, source lineage and redistribution boundary."
,docs/architecture.md,release/interface/documentation/test,,fbcf33ed4d6bd1bfb1cdb3e0943edd89fc147a564f2b98c9597e1a8e80c7336a,new,Include validated analysis tables and distinguish preserved restoration logic from intentional accounting corrections.
,docs/configuration.md,release/interface/documentation/test,,1a586f734a724dd0f57a0490a36015588a77160feed757703b170a84686dc609,new,"Document every active benefit-cost key, selectors, environmental boundaries, CRF and allocation compatibility mode."
,docs/data_provenance.md,release/interface/documentation/test,,1c6334e8b07d766c76409c1170d10b1537436ba446d81831b353e21f08152657,new,"Describe a curated derived release, intentional semantic corrections and inherited geographic identifiers."
outputs/intro_dc_hurricane_map_v3_paper_style/README.md,docs/intro_map_reproduction.md,introductory spatial map workflow,55cd8fd4ffb6135514f2c69f8e1adee48ff0b671a014463efd42f18b57899c9c,24f73ddd22212aabe8e2e4caec63adcac6000c0c71fc0ba542df921341582ec3,refactored,"New guide written using the version-3 README as source material; source hash records that reference. Documents package commands, interpretation, provenance and redistribution limits."
outputs/intro_dc_hurricane_map_v3_paper_style/sources.bib,docs/intro_map_sources.bib,introductory spatial map workflow,30526f6eed75c3db63c45a3ed4778d46c9c77a24fb6ab608581abb13b5bfa676,30526f6eed75c3db63c45a3ed4778d46c9c77a24fb6ab608581abb13b5bfa676,copied,Version-3 source copied before adaptation; original source hash retained. Attribution/provenance metadata only; LF-normalized destination.
,docs/methods.md,release/interface/documentation/test,,ea21f7be8814d24c7263c451668a100eb898236392b149161bb788d14ff4e11a,new,Describe the lifecycle and local-incidence cost boundaries and separate climate reporting.
,docs/model_scope.md,release/interface/documentation/test,,9811d68331a17fa81da83dbebbbe7691b67e847668b3edc053490cbab5cea48c,new,"State fixed within-class priority and the assumed available, islandable support paths and excluded damage classes."
,docs/provenance/controller_trace.md,release/interface/documentation/test,,67c22907498065afafe20b0e87c93d6a04e01ad9c332bb54740a6c74f2aab82b,new,"Trace final trajectory allocation, document exact legacy ordering and SI mismatch, and explain why no new dispatch rule is invented."
,docs/provenance/dependency_audit.md,release/interface/documentation/test,,727c0099c59fe6813de919405481efee3524152289ae4c55bd551a4f825d6959,new,"Confirm the unchanged dependencies in the reinstalled, renamed isolated distribution."
,docs/provenance/figure_input_paths.md,release/interface/documentation/test,,1c8d6f584ba48c72640015c438354b545ec51a54c1d98f07ef287968331fb0b3,new,Describe consolidated table families and the independent benefit-cost export contracts.
,docs/provenance/numerical_literal_audit.csv,release/interface/documentation/test,,8faa94a3b8d29d32d8aa4bd97f5f311d1a51ad4a779394f53961ea8f20e1a938,new,Refresh the source comparison and explicitly distinguish reviewed accounting changes from unchanged numerical literals.
,docs/provenance/packaging_validation.md,release/interface/documentation/test,,7cccab5325dd7004e94b43df11ccbb2b032d211f38f0ea26495134843b915aa2,new,"Replace obsolete initial-stage claims with current checks, semantic changes, cleanup and the single copyright blocker."
,docs/provenance/release_refinements.md,release/interface/documentation/test,,dde8dc788199f72eb262cdba4544ae2833da925a556df8a9c91a3b3717b34a82,new,"Catalogue every changed/new candidate file, scientific consequences, evidence and remaining release decisions."
